Union ID,Union Name,Upazila ID
973,Bangodda,99
974,Bakshaganj,99
975,Dhalua,99
976,Daulkhar,99
977,Jodda,99
978,Mokara,99
979,Nangalkot,99
980,Peria,99
981,Roykot,99
982,Satbaria,99
983,Heshakhal,99
984,Amratali,100
985,Dakshin Durgapur,100
986,Jagannathpur,100
987,Kalir Bazar,100
988,Panchthubi,100
989,Uttar Durgapur,100
990,Barakanda,101
991,Chandanpur,101
992,Gobindapur,101
993,Luterchar,101
994,Radhanagar,101
995,Manikerchar,101
996,Chalibhanga,101
997,Balarampur,102
998,Bitikandi,102
999,Jiarkandi,102
1000,Karikandi,102
1001,Satani,102
1002,Jagatpur,102
1003,Kalakandi,102
1004,Majidpur,102
1005,Narandia,102
1006,Baishgaon,103
1007,Hasnabad,103
1008,Maisatua,103
1009,Uttar Jhalam,103
1010,Dakshin Jhalam,103
1011,Laxmanpur,103
1012,Nather Petua,103
1013,Bipulasar,103
1014,Sarashpur,103
1015,Khila,103
1016,Uttar Hawla,103
1017,Gopal,113
1018,Mohamaya,113
1019,Pathannagar,113
1020,Radhanagar,113
1021,Subhapur,113
1022,Daganbhuiyan,114
1023,Joylashkara,114
1024,Mathu Bhuiyan,114
1025,Purba Chandrapur,114
1026,Rajapur,114
1027,Ramnagar,114
1028,Sindurpur,114
1029,Yakubpur,114
1030,Baligaon,115
1031,Dhalia,115
1032,Dharmapur,115
1033,Farhadnagar,115
1034,Fazilpur,115
1035,Kalidah,115
1036,Kazirbag,115
1037,Lemua,115
1038,Matabi,115
1039,Panchgachhiya,115
1040,Chanua,115
1041,Sarishadi,115
1042,Chithalia,116
1043,Baksh Mohammad,116
1044,Mirzanagar,116
1045,Amirabad,117
1046,Bagdana,117
1047,Char Chandira,117
1048,Char Darbesh,117
1049,Char Majlishpur,117
1050,Mangalkandi,117
1051,Matiganj,117
1052,Nawabpur,117
1053,Sonagazi,117
1054,Amjadhat,118
1055,Anandapur,118
1056,Darbarpur,118
1057,Fulgazi,118
1058,G.M. Hat,118
1059,Munshirhat,118
1060,Babuchhara,119
1061,Boalkhali,119
1062,Dighinala,119
1063,Kabakhali,119
1064,Merun,119
1065,Bhaibonchhara,120
1066,Golabari,120
1067,Kamalchhari,120
1068,Khagrachhari,120
1069,Perachhara,120
1070,Barmachhari,121
1071,Dulyatali,121
1072,Laxmichhari,121
1073,Kayangghat,122
1074,Mahalchhari,122
1075,Maschhari,122
1076,Mubachhari,122
1077,Sindukchhari,122
1078,Batnatali,123
1079,Manikchhari,123
1080,Baranala,124
1081,Belchhari,124
1082,Guimara,124
1083,Gumti,124
1084,Matiranga,124
1085,Tubalchhari,124
1086,Taindang,124
1087,Chengi,125
1088,Latiban,125
1089,Logang,125
1090,Panchhari,125
1091,Halfchhari,126
1092,Pathachhara,126
1093,Ramgarh,126
1094,Bangakha,127
1095,Basikpur,127
1096,Bhabaniganj,127
1097,Chandraganj,127
1098,Charsahi,127
1099,Char Ruhita,127
1100,Dalalbazar,127
1101,Datta Para,127
1102,Dighali,127
1103,Kushakhali,127
1104,Laharkandi,127
1105,Mandari,127
1106,Uttar Hamchadi,127
1107,Parbatinagar,127
1108,Shakchar,127
1109,Dakshin Hamchadi,127
1110,Uttar Joypur,127
1111,Bamni,128
1112,Char Ababil Uttar,128
1113,Char Bangshi Uttar,128
1114,Char Mohana,128
1115,Keroa,128
1116,Roypur,128
1117,Sonapur,128
1118,Char Bangshi Dakshin,128
1119,Char Ababil Dakshin,128
1120,Char Pata,128
1121,Bhadur,129
1122,Bhatra,129
1123,Bholakot,129
1124,Chandipur,129
1125,Darbeshpur,129
1126,Ichhapur,129
1127,Kanchanpur,129
1128,Karpara,129
1129,Lamchar,129
1130,Noagaon,129
1131,Bara Kheri,130
1132,Char Abdullah,130
1133,Char Alexandar,130
1134,Char Algi,130
1135,Char Badam,130
1136,Char Gazi,130
1137,Char Ramiz,130
1138,Char Poragacha,130
1139,Char Falcon,131
1140,Patwary Hat,131
1141,Char Kadira,131
1142,Torabganj,131
1143,Char Kalkini,131
1144,Shaeber Hat,131
1145,Char Lawrence,131
1146,Char Martin,131
1147,Hajirhat,131
1148,Alyarpur,132
1149,Amanullapur,132
1150,Begumganj,132
1151,Chhayani,132
1152,Durgapur,132
1153,Eklashpur,132
1154,Gopalpur,132
1155,Narottampur,132
1156,Hajipur,132
1157,Jirtali,132
1158,Kadirpur,132
1159,Kutubpur,132
1160,Mir Warishpur,132
1161,Rajganj,132
1162,Rasulpur,132
1163,Sharifpur,132
1164,Ashwadia,133
1165,Batya,133
1166,Binodpur,133
1167,Char Matua,133
1168,Dadpur,133
1169,Ewazbalia,133
1170,Ghoshbag,133
1171,Kadir Hanif,133
1172,Kaladarap,133
1173,Narottampur,133
1174,Noazpur,133
1175,Noakhali,133
1176,Noannai,133
1177,Sundalpur,133
1178,Badalkut,134
1179,Hatpukoria,134
1180,Khil Para,134
1181,Mohammadpur,134
1182,Nayakhola,134
1183,Panchgaon,134
1184,Parkote,134
1185,Ramnarayanpur,134
1186,Sahapur,134
1187,Char Elahi,135
1188,Char Fakira,135
1189,Char Hazari,135
1190,Char Kakra,135
1191,Char Parbati,135
1192,Musapur,135
1193,Rampur,135
1194,Sirajpur,135
1195,Burir Char,136
1196,Char Ishwar,136
1197,Char King,136
1198,Harni Chanandi,136
1199,Jahajmara,136
1200,Nalchira,136
1201,Sonadia,136
1202,Sukh Char,136
1203,Tamaruddin,136
1204,Nijhumdip,136
1205,Arjuntala,137
1206,Bijbagh,137
1207,Chhatarpaia,137
1208,Dumuria,137
1209,Kabilpur,137
1210,Kadra,137
1211,Kesharpar,137
1212,Mohammadpur,137
1213,Nabipur,137
1214,Ambarnagar,138
1215,Amisha Para,138
1216,Bazra,138
1217,Deoti,138
1218,Jayag,138
1219,Nadana,138
1220,Nateshwar,138
1221,Sonaimuri,138
1222,Sonapur,138
1223,Baragaon,138
1224,Chashir Hat (Old Sonaimuri),138
1225,Char Amanullah,139
1226,Char Bata,139
1227,Char Jubaly,139
1228,Char Clerk,139
1229,Char Jabbar,139
1230,Char Wapda,139
1231,Batya,140
1232,Chaprashirhat,140
1233,Ghoshbag,140
1234,Narottampur,140
1235,Sundalpur,140
1236,Baghai Chhari,141
1237,Bangaltali,141
1238,Saroatali,141
1239,Kedarmara,141
1240,Marishya,141
1241,Rupakari,141
